1,Cyberpunk2077,https://github.com/Mroxny/online-game-store/csvDB/covers/cp-2077.jpg,Small description,Big description,10-12-2020,199.00
2,Assassin's Creed Valhalla,https://github.com/Mroxny/online-game-store/csvDB/covers/ac-valhalla.jpg,Small description,Big description,17-11-2020,229.00
3,Call of Duty: Black Ops Cold War,https://github.com/Mroxny/online-game-store/csvDB/covers/cod-bocw.jpg,Small description,Big description,13-11-2020,279.00
4,FIFA 21,https://github.com/Mroxny/online-game-store/csvDB/covers/fifa21.jpg,Small description,Big description,09-10-2020,179.00
5,Marvel's Spider-Man: Miles Morales,https://github.com/Mroxny/online-game-store/csvDB/covers/spider-man-miles.jpg,Small description,Big description,12-11-2020,199.00
6,The Last of Us Part II,https://github.com/Mroxny/online-game-store/csvDB/covers/tlou2.jpg,Small description,Big description,19-06-2020,239.00
7,God of War,https://github.com/Mroxny/online-game-store/csvDB/covers/god-of-war.jpg,Small description,Big description,20-04-2018,149.00
8,Red Dead Redemption 2,https://github.com/Mroxny/online-game-store/csvDB/covers/red-dead-redemption-2.jpg,Small description,Big description,26-10-2018,259.00
9,The Witcher 3: Wild Hunt,https://github.com/Mroxny/online-game-store/csvDB/covers/witcher-3.jpg,Small description,Big description,19-05-2015,129.00
10,Grand Theft Auto V,https://github.com/Mroxny/online-game-store/csvDB/covers/gta-5.jpg,Small description,Big description,14-04-2015,159.00
